0.00 1.00 0.00 
0.06 1.00 0.06 
0.13 0.99 0.13 
0.19 0.98 0.19 
0.26 0.97 0.25 
0.32 0.95 
0.38 0.93 
0.45 0.90 
     0.87 
0.58 0.84 0.55 
0.64 0.80 0.60 
0.71 0.76 0.65 
0.77 0.72 0.70 
0.83 0.67 0.74 
0.90 0.62 0.78 
0.96      0.82 
1.03      0.86 
1.09      0.89 
1.15      0.91 
1.22      0.94 
1.28 0.28 0.96 
1.35 0.22 0.97 
1.41 0.16 0.99 
1.47 0.10 1.00 
1.54 0.03 1.00 
1.60 -0.03 1.00 
     -0.10 1.00 
1.73 -0.16 0.99 
1.80 -0.22 0.97 
1.86 -0.28 0.96 
1.92 -0.35 0.94 
1.99       0.91 
2.05       0.89 
           0.86 
2.18 -0.57 0.82 
2.24 -0.62 0.78 
2.31 -0.67 0.74 
2.37 -0.72 0.70 
2.44 -0.76 0.65 
2.50 -0.80  
2.56 -0.84  
2.63 -0.87  
2.69 -0.90 0.43 
2.76 -0.93 0.38 
2.82 -0.95 0.32 
2.89 -0.97 0.25 
2.95 -0.98 0.19 
3.01 -0.99 0.13 
3.08 -1.00 0.06 
3.14 -1.00 0.00 
